Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2011,2011-09-11,1,1,22.104,CLE,CIN,False,3,1,12,12.00,0,33.3%,4.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,,,,,,,False,False,17,27,Greg Little
2011,2011-09-18,2,2,22.111,CLE,IND,False,5,4,38,9.50,0,80.0%,7.60,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,,,,,,,True,True,27,19,Greg Little
2011,2011-09-25,3,3,22.118,CLE,MIA,True,5,3,24,8.00,0,60.0%,4.80,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,,,,,,,False,True,17,16,Greg Little
2011,2011-10-02,4,4,22.125,CLE,TEN,False,8,6,57,9.50,0,75.0%,7.13,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,,,,,,,False,False,13,31,Greg Little
2011,2011-10-16,5,6,22.139,CLE,OAK,True,12,6,72,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,,,,,,,True,False,17,24,Greg Little
2011,2011-10-23,6,7,22.146,CLE,SEA,True,7,5,31,6.20,0,71.4%,4.43,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,,,,,,,False,True,6,3,Greg Little
2011,2011-10-30,7,8,22.153,CLE,SFO,True,11,4,28,7.00,0,36.4%,2.55,1,-8,-8.00,0,0,0,,0,0,0,0.0,0,0,0,,,,,,,,,True,False,10,20,Greg Little
2011,2011-11-06,8,9,22.160,CLE,HOU,True,9,2,33,16.50,0,22.2%,3.67,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,,,,,,,True,False,12,30,Greg Little
2011,2011-11-13,9,10,22.167,CLE,STL,True,6,6,84,14.00,0,100.0%,14.00,1,10,10.00,0,0,0,,0,0,0,0.0,0,0,0,,,,,,,,,False,False,12,13,Greg Little
2011,2011-11-20,10,11,22.174,CLE,JAX,False,8,5,59,11.80,0,62.5%,7.38,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,,,,,,,False,True,14,10,Greg Little
2011,2011-11-27,11,12,22.181,CLE,CIN,True,13,5,57,11.40,1,38.5%,4.38,1,13,13.00,0,0,0,,0,1,6,0.0,0,0,0,0,0,,,,,,,True,False,20,23,Greg Little
2011,2011-12-04,12,13,22.188,CLE,BAL,True,7,3,18,6.00,0,42.9%,2.57,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,,,,,,,False,False,10,24,Greg Little
2011,2011-12-08,13,14,22.192,CLE,PIT,True,6,2,25,12.50,0,33.3%,4.17,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,,,,,,,True,False,3,14,Greg Little
2011,2011-12-18,14,15,22.202,CLE,ARI,True,9,5,131,26.20,1,55.6%,14.56,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,,,,,,,True,False,17,20,Greg Little
2011,2011-12-24,15,16,22.208,CLE,BAL,True,7,4,40,10.00,0,57.1%,5.71,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,,,,,,,True,False,14,20,Greg Little
2011,2012-01-01,16,17,22.216,CLE,PIT,True,5,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,,,,,,,False,False,9,13,Greg Little
2012,2012-09-09,1,1,23.102,CLE,PHI,True,4,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,49,80%,0,0%,0,0%,False,False,16,17,Greg Little
2012,2012-09-16,2,2,23.109,CLE,CIN,True,7,5,57,11.40,1,71.4%,8.14,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,55,85%,0,0%,1,3%,True,False,27,34,Greg Little
2012,2012-09-23,3,3,23.116,CLE,BUF,True,4,2,17,8.50,0,50.0%,4.25,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,61,97%,0,0%,0,0%,False,False,14,24,Greg Little
2012,2012-09-27,4,4,23.120,CLE,BAL,True,10,4,77,19.25,0,40.0%,7.70,1,-2,-2.00,0,0,0,,0,0,0,0.0,0,0,0,,,67,94%,0,0%,0,0%,True,False,16,23,Greg Little
2012,2012-10-07,5,5,23.130,CLE,NYG,True,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,53,91%,0,0%,1,3%,True,False,27,41,Greg Little
2012,2012-10-14,6,6,23.137,CLE,CIN,True,5,3,18,6.00,0,60.0%,3.60,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,59,91%,0,0%,1,3%,False,True,34,24,Greg Little
2012,2012-10-21,7,7,23.144,CLE,IND,True,9,6,52,8.67,1,66.7%,5.78,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,54,90%,0,0%,0,0%,True,False,13,17,Greg Little
2012,2012-10-28,8,8,23.151,CLE,SDG,True,5,2,28,14.00,0,40.0%,5.60,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,58,92%,0,0%,0,0%,False,True,7,6,Greg Little
2012,2012-11-04,9,9,23.158,CLE,BAL,True,7,5,52,10.40,0,71.4%,7.43,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,55,79%,0,0%,0,0%,False,False,15,25,Greg Little
2012,2012-11-18,10,11,23.172,CLE,DAL,True,4,3,53,17.67,0,75.0%,13.25,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,63,90%,0,0%,0,0%,True,False,20,23,Greg Little
2012,2012-11-25,11,12,23.179,CLE,PIT,True,4,1,6,6.00,0,25.0%,1.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,55,82%,0,0%,0,0%,False,True,20,14,Greg Little
2012,2012-12-02,12,13,23.186,CLE,OAK,True,5,4,48,12.00,0,80.0%,9.60,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,56,82%,0,0%,1,4%,True,True,20,17,Greg Little
2012,2012-12-09,13,14,23.193,CLE,KAN,True,7,4,69,17.25,0,57.1%,9.86,1,17,17.00,0,0,0,,0,0,0,0.0,0,0,0,,,56,80%,0,0%,0,0%,False,True,30,7,Greg Little
2012,2012-12-16,14,15,23.200,CLE,WAS,True,9,5,74,14.80,0,55.6%,8.22,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,45,85%,0,0%,0,0%,False,False,21,38,Greg Little
2012,2012-12-23,15,16,23.207,CLE,DEN,True,7,6,58,9.67,1,85.7%,8.29,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,62,97%,0,0%,0,0%,True,False,12,34,Greg Little
2012,2012-12-30,16,17,23.214,CLE,PIT,True,5,3,38,12.67,1,60.0%,7.60,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,58,92%,0,0%,0,0%,True,False,10,24,Greg Little
2013,2013-09-08,1,1,24.101,CLE,MIA,True,10,4,26,6.50,0,40.0%,2.60,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,77,100%,0,0%,0,0%,False,False,10,23,Greg Little
2013,2013-09-15,2,2,24.108,CLE,BAL,True,12,4,33,8.25,0,33.3%,2.75,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,62,98%,0,0%,0,0%,True,False,6,14,Greg Little
2013,2013-09-22,3,3,24.115,CLE,MIN,False,8,3,19,6.33,0,37.5%,2.38,0,0,,0,1,26,26.00,0,0,0,0.0,0,0,0,,,57,78%,1,1%,6,17%,True,True,31,27,Greg Little
2013,2013-09-29,4,4,24.122,CLE,CIN,False,2,0,0,,0,0.0%,0.00,0,0,,0,2,60,30.00,0,0,0,0.0,0,0,0,,,52,72%,0,0%,3,13%,False,True,17,6,Greg Little
2013,2013-10-03,5,5,24.126,CLE,BUF,False,5,3,71,23.67,0,60.0%,14.20,0,0,,0,3,44,14.67,0,0,0,0.0,0,0,0,,,50,74%,0,0%,4,10%,False,True,37,24,Greg Little
2013,2013-10-13,6,6,24.136,CLE,DET,True,5,2,12,6.00,1,40.0%,2.40,0,0,,0,1,21,21.00,0,1,6,0.0,0,0,0,,,62,91%,0,0%,5,17%,False,False,17,31,Greg Little
2013,2013-10-20,7,7,24.143,CLE,GNB,True,9,4,49,12.25,0,44.4%,5.44,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,65,93%,0,0%,4,13%,True,False,13,31,Greg Little
2013,2013-10-27,8,8,24.150,CLE,KAN,True,3,1,8,8.00,0,33.3%,2.67,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,49,91%,0,0%,0,0%,True,False,17,23,Greg Little
2013,2013-11-03,9,9,24.157,CLE,BAL,True,9,7,122,17.43,0,77.8%,13.56,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,53,76%,0,0%,0,0%,False,True,24,18,Greg Little
2013,2013-11-17,10,11,24.171,CLE,CIN,True,6,1,4,4.00,0,16.7%,0.67,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,77,96%,0,0%,0,0%,True,False,20,41,Greg Little
2013,2013-11-24,11,12,24.178,CLE,PIT,True,7,2,17,8.50,0,28.6%,2.43,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,70,95%,0,0%,1,4%,False,False,11,27,Greg Little
2013,2013-12-01,12,13,24.185,CLE,JAX,True,4,2,9,4.50,1,50.0%,2.25,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,64,85%,0,0%,0,0%,False,False,28,32,Greg Little
2013,2013-12-08,13,14,24.192,CLE,NWE,True,4,2,14,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,63,86%,0,0%,1,3%,True,False,26,27,Greg Little
2013,2013-12-15,14,15,24.199,CLE,CHI,True,7,4,68,17.00,0,57.1%,9.71,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,50,86%,0,0%,1,3%,False,False,31,38,Greg Little
2013,2013-12-22,15,16,24.206,CLE,NYJ,True,4,1,4,4.00,0,25.0%,1.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,41,63%,0,0%,0,0%,True,False,13,24,Greg Little
2013,2013-12-29,16,17,24.213,CLE,PIT,True,4,1,9,9.00,0,25.0%,2.25,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,48,73%,0,0%,1,5%,True,False,7,20,Greg Little
2014,2014-10-19,6,7,25.142,CIN,IND,False,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,7,12%,0,0%,0,0%,True,False,0,27,Greg Little
2014,2014-10-26,7,8,25.149,CIN,BAL,False,5,3,42,14.00,0,60.0%,8.40,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,30,43%,0,0%,0,0%,False,True,27,24,Greg Little
2014,2014-11-02,8,9,25.156,CIN,JAX,True,,,,,,0.0%,,,,,,,,,,0,0,0.0,,,,,,41,60%,0,0%,0,0%,False,True,33,23,Greg Little
2014,2014-11-06,9,10,25.160,CIN,CLE,False,4,1,8,8.00,0,25.0%,2.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,36,53%,0,0%,0,0%,False,False,3,24,Greg Little
2014,2014-11-16,10,11,,CIN,NOR,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,27,10,Greg Little
2014,2014-11-23,11,12,,CIN,HOU,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,22,13,Greg Little
2014,2014-11-30,12,13,,CIN,TAM,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,14,13,Greg Little
2014,2014-12-07,13,14,25.191,CIN,PIT,False,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,15,25%,0,0%,13,37%,False,False,21,42,Greg Little
2014,2014-12-14,14,15,25.198,CIN,CLE,False,,,,,,0.0%,,,,,,,,,,0,0,0.0,,,,,,9,12%,0,0%,0,0%,True,True,30,0,Greg Little
2014,2014-12-22,15,16,,CIN,DEN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,37,28,Greg Little
2014,2014-12-28,16,17,,CIN,PIT,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,17,27,Greg Little
2015,2015-09-13,1,1,,CIN,OAK,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,33,13,Greg Little
2015,2015-09-20,2,2,,CIN,SDG,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,24,19,Greg Little
2015,2015-09-27,3,3,,CIN,BAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,28,24,Greg Little
2015,2015-10-04,4,4,,CIN,KAN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,36,21,Greg Little
2015,2015-10-11,5,5,,CIN,SEA,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,27,24,Greg Little
2015,2015-10-18,6,6,,CIN,BUF,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,34,21,Greg Little
,54 Games,,,,,,False,326,161,1890,11.74,8,49.4%,5.80,5,30,6.00,0,7,151,21.57,0,8,48,0.0,1,0,1,0,0,,,,,,,False,False,38,0,Greg Little
